Smelter,Company,Latitude,Longitude,Capacity_tpa,Coal_MW,GHG_Intensity,Tahun,Agri_Loss_RpMiliar
Adhikara Cipta Mulia,Adhikara Cipta Mulia,-3.52320167397664,122.164807122561,2401920.0,0.0,60.0,1,-22.833802696925137
Adhikara Cipta Mulia,Adhikara Cipta Mulia,-3.52320167397664,122.164807122561,2401920.0,0.0,66.0,9,-4515.489080598276
ANTAM Pomalaa RKEF,PT Aneka Tambang,-4.18597128870594,121.611100571282,1450000.0,60.0,60.0,1,-9.108373625324528
ANTAM Pomalaa RKEF,PT Aneka Tambang,-4.18597128870594,121.611100571282,1450000.0,60.0,66.0,9,-1937.610160489908
ANTAM Feni Haltim RKEF,ANTAM,0.83684,128.24266,1219945.0,80.0,60.0,1,-0.0010844296350878
ANTAM Feni Haltim RKEF,ANTAM,0.83684,128.24266,1219945.0,80.0,66.0,9,-0.2213070945423194
Ang And Fang Brother,Ang and Fang Brother,-2.78683713746305,122.083405959012,1866510.0,0.0,60.0,1,-21.66807454530151
Ang And Fang Brother,Ang and Fang Brother,-2.78683713746305,122.083405959012,1866510.0,0.0,66.0,9,-4255.603677717129
Angel Nickel Industry,Nickel Mines,0.48068,127.99074,3600000.0,760.0,60.0,1,-0.0090541984930705
Angel Nickel Industry,Nickel Mines,0.48068,127.99074,3600000.0,760.0,66.0,9,-1.9434986499283573
Anugrah Tambang Sejahtera,Silkroad Nickel,-3.01680813805646,122.233574871863,1440000.0,0.0,60.0,1,-14.9080701754693
Anugrah Tambang Sejahtera,Silkroad Nickel,-3.01680813805646,122.233574871863,1440000.0,0.0,66.0,9,-3042.0309415711376
Artha Mining Industry,Artha Mining Industry,-4.89399835956639,121.987146995586,2000000.0,0.0,60.0,1,-7.759356775442852
Artha Mining Industry,Artha Mining Industry,-4.89399835956639,121.987146995586,2000000.0,0.0,66.0,9,-1414.9025132642946
Artabumi Sentra Industri,Silkroad Nickel,-2.629209261240042,122.32511978235468,720000.0,15.0,60.0,1,-7.1974583608430684
