Smelter,Regency,Year,Year_Scaled,Latitude,Longitude,Coal_MW,CO2_Mt,RE_share_pct,GHG_Intensity,Target_PDRB_Smelter
Gunbuster Nickel Industry,North Morowali Regency,2020,0.0,-2.00042547039831,121.43504311042,2295.0,14.475024,0.0,68.0,15.56749267324291
Gunbuster Nickel Industry,North Morowali Regency,2024,0.26666666666666666,-2.00042547039831,121.43504311042,2295.0,14.475024,0.0,68.0,27.412312199260175
Gunbuster Nickel Industry,North Morowali Regency,2029,0.6,-2.00042547039831,121.43504311042,2295.0,14.475024,0.0,68.0,-0.11452653790983185
Gunbuster Nickel Industry,North Morowali Regency,2035,1.0,-2.00042547039831,121.43504311042,2295.0,14.475024,0.0,68.0,-0.04462074572826018
Indonesia Tsingshan Stainless Steel,Morowali Regency,2020,0.0,-2.83238130604301,122.161456778463,1400.0,8.83008,0.0,68.0,2.021505114043189
Indonesia Tsingshan Stainless Steel,Morowali Regency,2024,0.26666666666666666,-2.83238130604301,122.161456778463,1400.0,8.83008,0.0,68.0,3.5596393114126967
Indonesia Tsingshan Stainless Steel,Morowali Regency,2029,0.6,-2.83238130604301,122.161456778463,1400.0,8.83008,0.0,68.0,-0.01487899444393843
Indonesia Tsingshan Stainless Steel,Morowali Regency,2035,1.0,-2.83238130604301,122.161456778463,1400.0,8.83008,0.0,68.0,-0.005788311927280757
Nadesico Nickel Industry,North Morowali Regency,2020,0.0,-2.01427457604686,121.430177208944,0.0,5.44,0.0,68.0,5.850571311138514
Nadesico Nickel Industry,North Morowali Regency,2024,0.26666666666666666,-2.01427457604686,121.430177208944,0.0,5.44,0.0,68.0,10.302088505274696
Nadesico Nickel Industry,North Morowali Regency,2029,0.6,-2.01427457604686,121.430177208944,0.0,5.44,0.0,68.0,-0.04304133562952886
Nadesico Nickel Industry,North Morowali Regency,2035,1.0,-2.01427457604686,121.430177208944,0.0,5.44,0.0,68.0,-0.016769357809820237
Genba Multi Mineral,North Morowali Regency,2020,0.0,-2.14061,121.54069,700.0,4.41504,0.0,60.0,4.7482548458692975
Genba Multi Mineral,North Morowali Regency,2024,0.26666666666666666,-2.14061,121.54069,700.0,4.41504,0.0,60.0,8.361053829839705
Genba Multi Mineral,North Morowali Regency,2029,0.6,-2.14061,121.54069,700.0,4.41504,0.0,60.0,-0.034931841628271156
Genba Multi Mineral,North Morowali Regency,2035,1.0,-2.14061,121.54069,700.0,4.41504,0.0,60.0,-0.013609813511887638
Sulawesi Mining Investment,Morowali Regency,2020,0.0,-2.82450203373249,122.162005624412,640.0,4.036608,0.0,134.6,0.9241166235626005
Sulawesi Mining Investment,Morowali Regency,2024,0.26666666666666666,-2.82450203373249,122.162005624412,640.0,4.036608,0.0,134.6,1.6272636852172326
Sulawesi Mining Investment,Morowali Regency,2029,0.6,-2.82450203373249,122.162005624412,640.0,4.036608,0.0,134.6,-0.006801826031514711
Sulawesi Mining Investment,Morowali Regency,2035,1.0,-2.82450203373249,122.162005624412,640.0,4.036608,0.0,134.6,-0.002646085452471203
Oracle Nickel,Morowali Regency,2020,0.0,-2.86090888374523,122.155868800702,0.0,2.448,0.0,68.0,0.5604303153740086
Oracle Nickel,Morowali Regency,2024,0.26666666666666666,-2.86090888374523,122.155868800702,0.0,2.448,0.0,68.0,0.9868536903786015
Oracle Nickel,Morowali Regency,2029,0.6,-2.86090888374523,122.155868800702,0.0,2.448,0.0,68.0,-0.004124965843883778
Oracle Nickel,Morowali Regency,2035,1.0,-2.86090888374523,122.155868800702,0.0,2.448,0.0,68.0,-0.0016047179185220625
