Smelter,Province,Agri_Loss_BAU_Miliar,Agri_Loss_REAPC_Miliar,Agri_Loss_Saved_Miliar,Leontief_GRDP_Saved_Miliar,Health_Cost_Saved_Miliar
Adhikara Cipta Mulia,South East Sulawesi,6.6024,2.2994,4.303,7.8315,6.3035
ANTAM Pomalaa RKEF,South East Sulawesi,3.8765,0.7057,3.1708,5.7709,4.5815
ANTAM Feni Haltim RKEF,North Maluku,0.4507,0.1854,0.2653,0.4828,1.1637
Ang And Fang Brother,Central Sulawesi,5.8594,3.3496,2.5098,4.5679,2.1945
Angel Nickel Industry,North Maluku,2.4657,0.242,2.2237,4.0471,4.0275
Anugrah Tambang Sejahtera,South East Sulawesi,2.5253,0.5503,1.975,3.5945,3.0121
Artha Mining Industry,South East Sulawesi,6.1185,2.1267,3.9918,7.265,5.7349
Artabumi Sentra Industri,Central Sulawesi,2.3956,1.8534,0.5422,0.9868,0.833
Bahodopi Nickel Smelting Indonesia,Central Sulawesi,1.3142,0.6467,0.6675,1.2148,0.3367
Bintang Smelter Indonesia,South East Sulawesi,0.6743,0.2275,0.4468,0.8131,0.4321
Bintang Timur Steel,Banten,0.0,0.0,0.0,0.0,0.0
Bukit Smelter Indonesia,Central Sulawesi,5.4732,3.4633,2.0099,3.6581,2.1033
Cahaya Modern Metal Industri,Banten,0.0,0.0,0.0,0.0,0.0
Cahaya Smelter Indonesia,Central Sulawesi,5.4732,3.2353,2.2379,4.0731,2.1024
CORII BF,Central Sulawesi,2.3956,1.8407,0.5549,1.0099,0.8119
CORII RKEF,Central Sulawesi,0.6532,0.4208,0.2325,0.4231,0.2845
Century Metalindo,Banten,0.0,0.0,0.0,0.0,0.0
Ceria Nugraha Indotama (RKEF) / Merah Putih smelter,South East Sulawesi,14.4461,4.0485,10.3976,18.9237,16.849
Fajar Bhakti Lintas Nusantara,North Maluku,0.7971,0.1399,0.6572,1.1961,0.6816
Fajar Metal Industry Excelsior Nickel Cobalt Project,Central Sulawesi,17.9578,12.3161,5.6417,10.2678,9.375
Gebe Industry Nickel,East Java,0.0,0.0,0.0,0.0,0.0
Growth Java Industri,Banten,0.0,0.0,0.0,0.0,0.0
Gunbuster Nickel Industry,Central Sulawesi,32.8445,16.6018,16.2427,29.5617,21.4955
Halmahera Persada Lygend,North Maluku,3.1164,0.7986,2.3178,4.2183,6.8158
Heng Tai Yuan Indonesia,Banten,0.0,0.0,0.0,0.0,0.0
Hengjaya Nickel Industry,Central Sulawesi,5.4732,3.4633,2.0099,3.6581,2.104
