Smelter,Company,Latitude,Longitude,Capacity_tpa,Coal_MW,Diesel_MW,PLN_MW,Gas_MW,Hydro_MW,GHG_Intensity,Tahun,Mining_RpMiliar,Processing_RpMiliar,Electricity_RpMiliar,Construction_RpMiliar,Work_Absence,Child_Asthma,Low_Birth_Weight,Agri_Loss_RpMiliar
Adhikara Cipta Mulia,Adhikara Cipta Mulia,-3.52320167397664,122.164807122561,2401920.0,0.0,1.1,0.0,0.0,0.0,60.0,1,0.099341719625935,0.0757107793915901,0.0386747704251413,0.017305321003792,1702.060258795882,0.5080160521946527,0.7341651334942079,-12.91409579907981
Adhikara Cipta Mulia,Adhikara Cipta Mulia,-3.52320167397664,122.164807122561,2401920.0,0.0,1.1,0.0,0.0,0.0,66.0,9,-0.0064239449180743,-0.0080954816059405,-0.0027203440214294,-0.02120557327548,17020.60258795882,5.080160521946527,7.341651334942078,-3.84813965730156
ANTAM Pomalaa RKEF,PT Aneka Tambang,-4.18597128870594,121.611100571282,1450000.0,60.0,100.0,0.0,0.0,0.0,60.0,1,0.0722033823049656,0.0550279818952394,0.0281095318772218,0.0125778244331975,1237.0885870979428,0.3692353763533382,0.533604672923534,-9.386201483273698
ANTAM Pomalaa RKEF,PT Aneka Tambang,-4.18597128870594,121.611100571282,1450000.0,60.0,100.0,0.0,0.0,0.0,66.0,9,-0.0046690408880809,-0.0058839443844693,-0.0019771958862791,-0.0154125992581038,12370.885870979428,3.692353763533382,5.336046729235339,-2.7968984217835766
ANTAM Feni Haltim RKEF,ANTAM,0.83684,128.24266,1219945.0,80.0,0.0,0.0,0.0,0.0,60.0,1,6.542660202409687,0.0423610242953038,0.0242761254615395,0.0017596117784203,315.09759141012245,0.0293268629736719,0.0570244557821398,-0.2526998026231398
ANTAM Feni Haltim RKEF,ANTAM,0.83684,128.24266,1219945.0,80.0,0.0,0.0,0.0,0.0,66.0,9,-0.0001629270165203,-0.0115678181729483,-0.0004073175413009,-8.14635082601998e-05,3150.975914101224,0.2932686297367193,0.5702445578213986,-0.221417815451223
Ang And Fang Brother,Ang and Fang Brother,-2.78683713746305,122.083405959012,1866510.0,0.0,10.0,100.0,0.0,0.0,60.0,1,0.1793326329846232,0.7700380162679327,3.0130051989458653,2.427574304867986,592.5477137327238,0.1776866930907301,0.3647253173967619,-0.0204620254990798
Ang And Fang Brother,Ang and Fang Brother,-2.78683713746305,122.083405959012,1866510.0,0.0,10.0,100.0,0.0,0.0,66.0,9,0.1215751057989206,0.1051157068599898,-0.0106612015854438,-0.0701394841147619,5925.477137327238,1.7768669309073015,3.6472531739676186,-4.175824326256464
Angel Nickel Industry,Nickel Mines,0.48068,127.99074,3600000.0,760.0,0.0,0.0,0.0,0.0,60.0,1,22.644640685071288,0.1466147017486001,0.0840215021559285,0.0060901491495572,1090.5765418759909,0.1015024858259539,0.1973659446615771,-0.874613086200303
Angel Nickel Industry,Nickel Mines,0.48068,127.99074,3600000.0,760.0,0.0,0.0,0.0,0.0,66.0,9,-0.000563902699033,-0.0400370916313484,-0.0014097567475826,-0.0002819513495165,10905.76541875991,1.0150248582595391,1.9736594466157704,-0.766343767985952
