Smelter,Company,Latitude,Longitude,Capacity_tpa,Coal_MW,Diesel_MW,PLN_MW,Gas_MW,Hydro_MW,GHG_Intensity,Tahun,Mining_RpMiliar,Processing_RpMiliar,Electricity_RpMiliar,Construction_RpMiliar,Work_Absence,Child_Asthma,Low_Birth_Weight,Agri_Loss_RpMiliar
Adhikara Cipta Mulia,Adhikara Cipta Mulia,-3.52320167397664,122.164807122561,2401920.0,0.0,1.1,0.0,0.0,0.0,60.0,1,0.09934171962593501,0.07571077939159018,0.0386747704251413,0.01730532100379204,1702.060258795882,0.5080160521946527,0.7341651334942079,-12.91409579907981
Adhikara Cipta Mulia,Adhikara Cipta Mulia,-3.52320167397664,122.164807122561,2401920.0,0.0,1.1,0.0,0.0,0.0,66.0,9,-0.006423944918074319,-0.008095481605940594,-0.002720344021429431,-0.021205573275480023,17020.60258795882,5.080160521946527,7.341651334942078,-3.8481396573015596
ANTAM Pomalaa RKEF,PT Aneka Tambang,-4.18597128870594,121.611100571282,1450000.0,60.0,100.0,0.0,0.0,0.0,60.0,1,0.07220338230496569,0.055027981895239435,0.028109531877221875,0.012577824433197587,1237.0885870979428,0.36923537635333825,0.533604672923534,-9.386201483273698
ANTAM Pomalaa RKEF,PT Aneka Tambang,-4.18597128870594,121.611100571282,1450000.0,60.0,100.0,0.0,0.0,0.0,66.0,9,-0.004669040888080922,-0.005883944384469325,-0.001977195886279166,-0.01541259925810386,12370.885870979428,3.692353763533382,5.336046729235339,-2.7968984217835766
ANTAM Feni Haltim RKEF,ANTAM,0.83684,128.24266,1219945.0,80.0,0.0,0.0,0.0,0.0,60.0,1,6.542660202409687,0.042361024295303897,0.024276125461539542,0.0017596117784203157,315.09759141012245,0.02932686297367193,0.05702445578213986,-0.2526998026231398
ANTAM Feni Haltim RKEF,ANTAM,0.83684,128.24266,1219945.0,80.0,0.0,0.0,0.0,0.0,66.0,9,-0.0001629270165203996,-0.011567818172948371,-0.000407317541300999,-8.14635082601998e-05,3150.975914101224,0.2932686297367193,0.5702445578213986,-0.22141781545122305
Ang And Fang Brother,Ang and Fang Brother,-2.78683713746305,122.083405959012,1866510.0,0.0,10.0,100.0,0.0,0.0,60.0,1,0.1793326329846232,0.7700380162679327,3.0130051989458653,2.427574304867986,592.5477137327238,0.17768669309073015,0.3647253173967619,-0.020462025499079873
Ang And Fang Brother,Ang and Fang Brother,-2.78683713746305,122.083405959012,1866510.0,0.0,10.0,100.0,0.0,0.0,66.0,9,0.12157510579892063,0.10511570685998983,-0.010661201585443808,-0.0701394841147619,5925.477137327238,1.7768669309073015,3.6472531739676186,-4.175824326256464
Angel Nickel Industry,Nickel Mines,0.48068,127.99074,3600000.0,760.0,0.0,0.0,0.0,0.0,60.0,1,22.644640685071288,0.1466147017486001,0.08402150215592852,0.006090149149557235,1090.5765418759909,0.10150248582595392,0.1973659446615771,-0.874613086200303
Angel Nickel Industry,Nickel Mines,0.48068,127.99074,3600000.0,760.0,0.0,0.0,0.0,0.0,66.0,9,-0.0005639026990330773,-0.04003709163134849,-0.0014097567475826935,-0.00028195134951653866,10905.76541875991,1.0150248582595391,1.9736594466157706,-0.766343767985952
Anugrah Tambang Sejahtera,Silkroad Nickel,-3.01680813805646,122.233574871863,1440000.0,0.0,0.0,146.0,0.0,0.0,60.0,1,0.04746992699206208,0.03617800440503577,0.018480539046728226,0.008269258149722462,813.3206927096251,0.24275284341041314,0.35081701241246804,-6.170933894230386
Anugrah Tambang Sejahtera,Silkroad Nickel,-3.01680813805646,122.233574871863,1440000.0,0.0,0.0,146.0,0.0,0.0,66.0,9,-0.003069648858609095,-0.0038683840207981964,-0.0012999023227783415,-0.010132973528163697,8133.20692709625,2.4275284341041314,3.50817012412468,-1.8388136351494586
Artha Mining Industry,Artha Mining Industry,-4.89399835956639,121.987146995586,2000000.0,0.0,1.5,0.0,0.0,0.0,60.0,1,0.09038133366800037,0.06888184783011576,0.03518639845867385,0.015744422361169318,1548.5384866753639,0.4621942170419023,0.6679451910799105,-11.7492751870226
Artha Mining Industry,Artha Mining Industry,-4.89399835956639,121.987146995586,2000000.0,0.0,1.5,0.0,0.0,0.0,66.0,9,-0.005844520421949216,-0.007365288490925798,-0.002474975484805025,-0.01929288118878134,15485.384866753639,4.621942170419023,6.679451910799104,-3.501046646638048
Artabumi Sentra Industri,Silkroad Nickel,-2.629209261240042,122.32511978235469,720000.0,15.0,0.0,0.0,0.0,0.0,60.0,1,0.06807241173314756,0.2922967449993414,1.1436988742274448,0.9214766707181081,224.92365873091168,0.06744763365299351,0.13844514276140774,-0.007767127496460516
Artabumi Sentra Industri,Silkroad Nickel,-2.629209261240042,122.32511978235469,720000.0,15.0,0.0,0.0,0.0,0.0,66.0,9,0.046148380920469245,0.03990060011892879,-0.0040468580191796106,-0.026624065915655335,2249.2365873091167,0.6744763365299351,1.3844514276140774,-1.5850903883544558
Bahodopi Nickel Smelting Indonesia,Vale Indonesia,-3.09094,122.33023,300000.0,0.0,0.0,0.0,500.0,0.0,28.7,1,0.027515083352963973,0.11814726550287097,0.46228668933343414,0.3724637743409673,90.91485170667244,0.02726254608397557,0.05595996301447617,-0.0031394974121967656
Bahodopi Nickel Smelting Indonesia,Vale Indonesia,-3.09094,122.33023,300000.0,0.0,0.0,0.0,500.0,0.0,31.57,9,0.01865332100482539,0.016127948314941336,-0.001635752765038534,-0.010761531348937725,909.1485170667243,0.2726254608397557,0.5595996301447617,-0.6406985303903564
Bintang Smelter Indonesia,PT Ifishdeco,-4.40051665026324,122.198670979539,147000.0,0.0,4.5,100.0,3.0,0.0,60.0,1,0.00680907110510188,0.005189361350308592,0.00265084259452993,0.0011861397372133924,116.66245934687473,0.03482039001289315,0.05032107976056817,-0.885156778895494
Bintang Smelter Indonesia,PT Ifishdeco,-4.40051665026324,122.198670979539,147000.0,0.0,4.5,100.0,3.0,0.0,66.0,9,-0.00044030944790497147,-0.000554879763431265,-0.00018645757232710526,-0.001453470473441411,1166.6245934687472,0.3482039001289315,0.5032107976056817,-0.26375883815572804
Bintang Timur Steel,Bintang Timur Steel,-6.24800244074343,106.497542682449,70000.0,0.0,0.0,0.0,0.0,0.0,60.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bintang Timur Steel,Bintang Timur Steel,-6.24800244074343,106.497542682449,70000.0,0.0,0.0,0.0,0.0,0.0,66.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
