Smelter,Company,Latitude,Longitude,Capacity_tpa,Coal_MW,GHG_Intensity,Tahun,Agri_Loss_RpMiliar
Adhikara Cipta Mulia,Adhikara Cipta Mulia,-3.52320167397664,122.164807122561,2401920.0,,60.0,1,-22.833802696925137
Adhikara Cipta Mulia,Adhikara Cipta Mulia,-3.52320167397664,122.164807122561,2401920.0,,66.0,9,-4515.489080598276
ANTAM Pomalaa RKEF,PT Aneka Tambang,-4.18597128870594,121.611100571282,1450000.0,60.0,60.0,1,-9.108373625324528
ANTAM Pomalaa RKEF,PT Aneka Tambang,-4.18597128870594,121.611100571282,1450000.0,60.0,66.0,9,-1937.610160489908
ANTAM Feni Haltim RKEF,ANTAM,0.83684,128.24266,1219945.0,80.0,60.0,1,-0.0010844296350878886
ANTAM Feni Haltim RKEF,ANTAM,0.83684,128.24266,1219945.0,80.0,66.0,9,-0.22130709454231948
Ang And Fang Brother,Ang and Fang Brother,-2.78683713746305,122.083405959012,1866510.0,,60.0,1,-21.66807454530151
Ang And Fang Brother,Ang and Fang Brother,-2.78683713746305,122.083405959012,1866510.0,,66.0,9,-4255.603677717129
Angel Nickel Industry,Nickel Mines,0.48068,127.99074,3600000.0,760.0,60.0,1,-0.009054198493070563
Angel Nickel Industry,Nickel Mines,0.48068,127.99074,3600000.0,760.0,66.0,9,-1.9434986499283575
Anugrah Tambang Sejahtera,Silkroad Nickel,-3.01680813805646,122.233574871863,1440000.0,,60.0,1,-14.9080701754693
Anugrah Tambang Sejahtera,Silkroad Nickel,-3.01680813805646,122.233574871863,1440000.0,,66.0,9,-3042.0309415711376
Artha Mining Industry,Artha Mining Industry,-4.89399835956639,121.987146995586,2000000.0,,60.0,1,-7.759356775442852
Artha Mining Industry,Artha Mining Industry,-4.89399835956639,121.987146995586,2000000.0,,66.0,9,-1414.9025132642946
Artabumi Sentra Industri,Silkroad Nickel,-2.629209261240042,122.32511978235469,720000.0,15.0,60.0,1,-7.1974583608430684
Artabumi Sentra Industri,Silkroad Nickel,-2.629209261240042,122.32511978235469,720000.0,15.0,66.0,9,-1562.2789270397977
Bahodopi Nickel Smelting Indonesia,Vale Indonesia,-3.09094,122.33023,300000.0,,28.7,1,-2.985716854090394
Bahodopi Nickel Smelting Indonesia,Vale Indonesia,-3.09094,122.33023,300000.0,,31.57,9,-651.9026413738815
Bintang Smelter Indonesia,PT Ifishdeco,-4.40051665026324,122.198670979539,147000.0,,60.0,1,-0.8170419297172378
Bintang Smelter Indonesia,PT Ifishdeco,-4.40051665026324,122.198670979539,147000.0,,66.0,9,-162.33517480439218
Bintang Timur Steel,Bintang Timur Steel,-6.24800244074343,106.497542682449,70000.0,,60.0,1,-1.042657106687829e-23
Bintang Timur Steel,Bintang Timur Steel,-6.24800244074343,106.497542682449,70000.0,,66.0,9,-1.9601555205112595e-21
Bukit Smelter Indonesia,PT Merdeka Industri Mineral,-2.85005087260833,122.167514383938,1800000.0,,60.0,1,-19.46973267264037
Bukit Smelter Indonesia,PT Merdeka Industri Mineral,-2.85005087260833,122.167514383938,1800000.0,,66.0,9,-3677.8534055245173
Cahaya Modern Metal Industri,PT Modern Cahaya Makmur,-6.20862610786271,106.326625086874,140000.0,,60.0,1,-6.739240523400753e-24
