rowid,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_data_source,estimated_generation_gwh
15642,IDN,Indonesia,Amamapare Port power station,WRI1075798,195.0,-4.8278,136.8391,Coal,,,,1998.0,PT Puncakjaya Power,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,799.9434084478232
15644,IDN,Indonesia,Amurang power station,WRI1075799,60.0,1.1825,124.4806,Coal,,,,2012.0,PLN,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,246.13643336856097
15648,IDN,Indonesia,Banten Serang power station,WRI1075800,660.0,-5.883,106.0459,Coal,,,,2017.0,PT Lestari Baten Energi (LBE),GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,2707.5007670541713
15649,IDN,Indonesia,Batu Hijau power station,WRI1075801,124.0,-8.9012,116.7382,Coal,,,,1999.0,Pt Newmont Nusa Tenggara,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,508.6819622950261
15654,IDN,Indonesia,Celukan Bawang power station,WRI1075802,381.0,-8.1963,114.8516,Coal,,,,2015.0,PT General Energy Bali,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,1562.9663518903626
15656,IDN,Indonesia,Cikarang Babelan power station,WRI1075803,280.0,-6.1161,107.052,Coal,,,,2017.0,PT Cikarang Listrindo,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,1148.6366890532845
15657,IDN,Indonesia,Cilacap Sumber power station,WRI1075804,1260.0,-7.6832,109.0964,Coal,,,,2011.0,Sumber Segara Primadaya,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,5168.865100739781
15667,IDN,Indonesia,Kalteng-1 Pulang Pisau power station,WRI1075805,120.0,-2.8226,114.2088,Coal,,,,2015.0,PT PLN Persero,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,492.27286673712194
15668,IDN,Indonesia,Kaltim Teluk Balikpapan power station,WRI1075806,220.0,-1.1704,116.7887,Coal,,,,2015.0,PLN,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,902.5002556847237
15672,IDN,Indonesia,Keban Agung power station,WRI1075807,270.0,-3.7515,103.6481,Coal,,,,2015.0,PT Primanaya Energi,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,1107.6139501585244
15674,IDN,Indonesia,Ketapang Smelter power station,WRI1075808,80.0,-2.3662,110.1573,Coal,,,,2016.0,PT Well Harvest Winning Alumina Refinery,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,328.18191115808133
15682,IDN,Indonesia,Lampung Sebalang power station,WRI1075809,200.0,-5.5859,105.3872,Coal,,,,2015.0,PT PLN Persero,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,820.4547778952034
15687,IDN,Indonesia,Medan Steel Mill Power Plant,WRI1075810,60.0,3.6676,98.6654,Coal,,,,2017.0,PT Gahapi Nisco Steel,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,246.13643336856097
