Smelter Name,Regency,Province,Latitude,Longitude,Process,Status 2025,Coal_MW,Diesel_MW,Gas_MW,Hydro_MW,Solar_MW,Ni_Output_tonnes,Output_Capacity_tonnes,RE_share_pct,Estimated_CO2_tpy,GHG_Intensity_tCO2_per_tNi,Estimation_Method
Gunbuster Nickel Industry,North Morowali Regency,Central Sulawesi,-2.00042547039831,121.43504311042,RKEF,Operating,2295.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,14475024,68.0,Power-based
Indonesia Tsingshan Stainless Steel,Morowali Regency,Central Sulawesi,-2.83238130604301,122.161456778463,RKEF,Operating,1400.0,0.0,0.0,0.0,0.0,0.0,675000.0,0.0,8830080,68.0,Power-based
Nadesico Nickel Industry,North Morowali Regency,Central Sulawesi,-2.01427457604686,121.430177208944,RKEF,Operating,0.0,0.0,0.0,0.0,0.0,80000.0,1800000.0,0,5440000,68.0,Intensity-based
Genba Multi Mineral,North Morowali Regency,Central Sulawesi,-2.14061,121.54069,Unknown,Stalled,700.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,4415040,60.0,Power-based
Sulawesi Mining Investment,Morowali Regency,Central Sulawesi,-2.82450203373249,122.162005624412,RKEF,Operating,640.0,0.0,0.0,0.0,0.0,30000.0,300000.0,0.0,4036608,134.6,Power-based
Oracle Nickel,Morowali Regency,Central Sulawesi,-2.86090888374523,122.155868800702,RKEF,Operating,0.0,0.0,0.0,0.0,0.0,36000.0,0.0,0,2448000,68.0,Intensity-based
Lestari Smelter Indonesia,Morowali Regency,Central Sulawesi,-2.85057947264716,122.168994610921,RKEF,Operating,350.0,0.0,0.0,0.0,0.0,0.0,300000.0,0.0,2207520,68.0,Power-based
Walsin Nickel Industrial Indonesia,Morowali Regency,Central Sulawesi,-2.8577087407882,122.159837893722,RKEF,Operating,350.0,0.0,0.0,0.0,0.0,0.0,300000.0,0.0,2207520,68.0,Power-based
Indonesia Guang Ching Nickel and SSI,Morowali Regency,Central Sulawesi,-2.82831965030396,122.162319664885,RKEF,Operating,300.0,0.0,0.0,0.0,0.0,0.0,600000.0,0.0,1892160,68.0,Power-based
Bahodopi Nickel Smelting Indonesia,Morowali Regency,Central Sulawesi,-3.09094,122.33023,HPAL,Construction,0.0,0.0,500.0,0.0,0.0,0.0,73000.0,0.0,1716960,13.4,Power-based
Huayue Nickel Cobalt,Morowali Regency,Central Sulawesi,-2.85111166723729,122.180043120576,HPAL,Operating,250.0,0.0,0.0,0.0,0.0,60000.0,160500.0,0.0,1576800,26.3,Power-based
Zhao Hui Nickel,Morowali Regency,Central Sulawesi,-2.85963986226067,122.155000831011,RKEF,Operating,0.0,0.0,0.0,0.0,0.0,23000.0,0.0,0,1564000,68.0,Intensity-based
CORII RKEF,Morowali Regency,Central Sulawesi,-1.93869141224428,121.320296797426,RKEF,Planned,0.0,0.0,0.0,0.0,0.0,20000.0,200000.0,0,1360000,68.0,Intensity-based
Bukit Smelter Indonesia,Morowali Regency,Central Sulawesi,-2.85005087260833,122.167514383938,RKEF,Operating,0.0,0.0,0.0,0.0,0.0,19000.0,150000.0,0,1292000,68.0,Intensity-based
Cahaya Smelter Indonesia,Morowali Regency,Central Sulawesi,-2.85565622639356,122.168987996916,RKEF,Operating,0.0,0.0,0.0,0.0,0.0,19000.0,150000.0,0,1292000,68.0,Intensity-based
Hengjaya Nickel Industry,Morowali Regency,Central Sulawesi,-2.84720726843122,122.164215585423,RKEF,Operating,0.0,0.0,0.0,0.0,0.0,15000.0,150000.0,0,1020000,68.0,Intensity-based
Ranger Nickel Industry,Morowali Regency,Central Sulawesi,-2.85105650826125,122.163937924412,RKEF,Operating,0.0,0.0,0.0,0.0,0.0,15000.0,150000.0,0,1020000,68.0,Intensity-based
Wanxiang Nickel Indonesia,Morowali Regency,Central Sulawesi,-2.7385893251359,122.028568769438,RKEF,Operating,150.0,0.0,0.0,0.0,0.0,0.0,351018.0,0.0,946080,68.0,Power-based
Tsingshan Steel Indonesia,Morowali Regency,Central Sulawesi,-2.83150301383204,122.168885300445,BF,Operating,130.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,819936,70.0,Power-based
PT Metal Smelt Indo Selaras,Morowali Regency,Central Sulawesi,-3.04298747012378,122.264709376272,RKEF,Operating,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819936,68.0,Power-based
