%Co,Persentasekandungancobalt
%Ni,Persentasekandungannikel
AMDAL,AnalisisMengenaiDampakLingkungan
APC,"AirPollutionControl,AlatPengendaliPolusiUdara"
BAU,"Business-As-Usual,BisnisSepertiBiasa"
BF,"BlastFurnace,tanurtiup"
CELIOS,CenterofEconomicandLawStudies
CFPP,"Coal-firedPowerPlant,PembangkitListrikTenagaUap"
CI,"ConfidenceInterval,IntervalKeyakinan"
CO,KarbonMonoksida
CO 2,KarbonDioksida
COD,"CommercialOperationDate,TahunOperasiKomersial"
Conc.,"Concentration,konsentrasi"
EEA,EuropeanEnvironmentAgency
EIA,EnvironmentalImpactAssessment
ESG,"Environmental,Social,andGovernance"
FGC,"FlueGasConcentration,KonsentrasiAsapBuang"
GCPT,GlobalCoalPlantTracker
PDB,ProdukDomestikBruto
PDRB,ProdukDomestikRegionalBruto
GEM,GlobalEnergyMonitor
GW,Gigawatt
GtCO -eq 2,Gigatonsetarakarbondioksida
ha,hektar
Hg,Merkuri
HPAL,"HighPressureAcidLeaching,prosespelindianpadatekanantinggi"
Rp,RupiahIndonesia
IEA,InternationalEnergyAgency
IESR,InstituteforEssentialServicesReform
IHME,InstituteforHealthMetricsandEvaluation
int.USD,"Dollarinternasional,setaradengandayabeli1USD"
JETP,"JustEnergyTransitionPartnership,KemitraanTransisiEnergiyangAdil"
