SektorEkonomi,PenambahanPDRB (RpMiliar),PenambahanPDRB denganREdanAPC (RpMiliar)
"Pertanian,Kehutanan,danPerikanan","-223,26","107,36"
PertambangandanEkskavasi,"6,5","2.555,52"
IndustriPengolahan,"5,62","3.503,73"
PengadaanListrikdanGas,-0.57,"79,18"
"PenyediaanAir,PengelolaanLimbah,dan PemulihanLimbah",-0.031,"12,56"
Konstruksi,"-3,75","55,82"
PerdaganganBesardanEceran;Perbaikan MobildanSepedaMotor,"-7,068","290,81"
TransportasidanPenyimpanan,-0.999,"149,53"
PenyediaanAkomodasidanMakanandan Minuman,-0.265,"100,36"
InformasidanKomunikasi,-0.687,"171,91"
JasaKeuangandanAsuransi,"-5,92","227,26"
Properti,-0.189,"81,31"
JasaPerusahaan,-0.209,"289,76"
"AdministrasiPemerintah,Pertahanan,dan JaminanSosialWajib",-0.073,"42,27"
