SektorEkonomi,PenambahanPDRB (RpMiliar),PenambahanPDRB denganREdanAPC (RpMiliar)
"Pertanian,Kehutanan,danPerikanan","-394,02","-390,1"
PertambangandanEkskavasi,3.031,5.144
IndustriPengolahan,"2,31",2.203
PengadaanListrikdanGas,"1,18","13,81"
"PenyediaanAir,PengelolaanLimbah,dan PemulihanLimbah","0,249","1,34"
Konstruksi,"0,528","4,46"
PerdaganganBesardanEceran;Perbaikan MobildanSepedaMotor,"4,71","28,94"
TransportasidanPenyimpanan,"10,68","28,56"
PenyediaanAkomodasidanMakanandan Minuman,"0,252","3,31"
InformasidanKomunikasi,"1,57","10,61"
JasaKeuangandanAsuransi,"2,55","12,04"
