SektorEkonomi,PenambahanPDRB (RpMiliar),PenambahanPDRB denganREdanAPC (RpMiliar)
"Pertanian,Kehutanan,danPerikanan","-15,51","-10,93"
PertambangandanEkskavasi,"401,57","401,64"
IndustriPengolahan,"2,6","311,42"
PengadaanListrikdanGas,"1,49","5,13"
"PenyediaanAir,PengelolaanLimbah,dan PemulihanLimbah","0,327","0,059"
Konstruksi,"0,108","0,278"
PerdaganganBesardanEceran;Perbaikan MobildanSepedaMotor,"32,75","45,83"
TransportasidanPenyimpanan,"22,9","32,04"
PenyediaanAkomodasidanMakanandan Minuman,"0,230","3,56"
InformasidanKomunikasi,,
