IndustriPengolahan,"-0,71",3.743
PengadaanListrikdanGas,"-0,025","79,08"
"PenyediaanAir,PengelolaanLimbah,dan PemulihanLimbah","-0,004","5,49"
Konstruksi,"-0,005","3,42"
PerdaganganBesardanEceran;Perbaikan MobildanSepedaMotor,"-0,614","244,78"
TransportasidanPenyimpanan,"-0,251","183,09"
PenyediaanAkomodasidanMakanandan Minuman,"-0,08","73,07"
InformasidanKomunikasi,"-0,115","113,58"
JasaKeuangandanAsuransi,"-0,244","103,37"
Properti,"-0,023","48,73"
JasaPerusahaan,"-0,017","343,6"
"AdministrasiPemerintah,Pertahanan,dan JaminanSosialWajib","-0,046","39,81"
JasaPendidikan,"-0,002","7,72"
JasaKesehatandanAktivitasSosial,"-0,046","1.075,2"
JasaLainnya,-1,"18,13"
Total,,
