Hasil,Sulawesi Tengah,Maluku Utara,Sulawesi Tenggara,Jumlah- Nasional
Hitunganharicutisakit,,,,
Ketidakhadirankerja,316.805 (269.596- 363.668),193.398 (164.578- 222.006),519.313(441.927 -596.133),1.029.516 (876.101- 1.181.807)
Jumlahkasus,,,,
Kasusbaruasmapada anak,95 (22-207),18 (4-39),155 (36-337),268 (62-583)
Jumlahkasusasma padaanak,406 (108-824),76 (20-154),663 (177-1.346),1.145 (305-2.324)
Kunjungankeruang gawatdaruratasma,109 (66-152),18 (11-25),97 (58-135),224 (135-312)
Kelahirandengan beratbadanlahir rendah,195 (61-337),35 (11-60),224 (70-388),454 (142-785)
Kelahiranprematur,15(7-15),3(1-3),24(12-26),42(20-44)
"Yearsofliveslost(YLL),angkatahunyanghilangkarenakematiandini",,,,
Semuapenyebabdari paparanNO 2,756 (322-1.739),131 (56-303),1.337 (570-3.077),2.224 (948-5.119)
Semuapenyebabdari paparanSO 2,1.785 (1.059-2.689),757 (449-1.141),1.650 (978-2.485),4.192 (2.486-6.315)
"Yearslivedwithdisability(YLD),angkatahunwaktuyanghilangakibatkondisidisabilitas",,,,
PPOK,482 (175-900),301 (109-562),807 (293-1.505),1.590 (577-2.967)
Diabetes,2.320 (119-5.838),986 (26-5.663),3.548 (154-11.358),6.854 (299-22.859)
Stroke,721 (232-1.480),433 (139-888),1.210 (390-2.485),2.364 (761-4.853)
