Perusahaan,Komoditas logam,Kategori logam,"Output(tonper tahun,tpa, asumsiberat kotor)",COD
HuaChinAluminumIndonesia,Aluminium,,"500,000",2023
IndonesiaRuipuNickelChromeAlloy,Iron&steel,,"1,146,000",2018
DexinSteelIndonesia,Iron&steel,,"3,250,000",2020
IndonesiaTsingshanStainlessSteel,Iron&steel,,"1,800,000",2021
CahayaSmelterIndonesia,Nickel,FeNi,"150,000",2020
HengjayaNickelIndustry,Nickel,FeNi,"150,000",2021
GunbusterNickelIndustry,Nickel,FeNi,"1,800,000",2021
QMBNewEnergyMaterialsIndonesia,Nickel,MHP,"20,000",2022
AngandFangBrother,Nickel,FeNi,"130,508",2023
SulawesiResources,Nickel,FeNi,"152,400",2023
WanxiangNickelIndonesia,Nickel,FeNi,"351,018",2023
FajarMetalIndustry,Nickel,NiSulfide,"60,000",2024
TelukMetalIndustry,Nickel,NiSulfide,"60,000",2024
OceanSkyMetalIndustry,Nickel,FeNi,"380,000",2025
ValeIndonesia(BahodopiNickel SmeltingIndonesia),Nickel,FeNi,"73,000",2025
SulawesiMiningInvestment,Nickel,NPI,"300,000",2015
CORIndustriIndonesia,Nickel,NPI,"92,400",2017
TsingshanSteelIndonesia,Nickel,NPI,"507,000",2017
IndonesiaRuipuNickelChromeAlloy,Nickel,NPI,"307,500",2018
