AnekaTambang(Expansion),Nickel,FeNi,"64,655",2021
YashiIndonesiaInvestment,Nickel,FeNi,"300,000",2021
YoushanNickelIndonesia,Nickel,FeNi,"300,000",2021
AngelNickelIndustry,Nickel,FeNi,"637,500",2022
SunnyMetalIndustry,Nickel,FeNi,"400,000",2023
ObiNickelCobalt,Nickel,FeNi,"65,000",2024
FirstPasificMining,Nickel,FeNi,"30,000",2025
PerkasaMetalIndustry,Nickel,FeNi,"150,000",2025
FajarBhaktiLintasNusantara (Expansion),Nickel,FeNi,"363,655",2025
HalmaheraJayaFeronikel,Nickel,FeNi,"780,000",2025
HalmaheraPersadaLygend,Nickel,MHP,"96,000",2021
HuayueNickelCobalt,Nickel,MHP,"115,000",2021
HuakeNickelIndonesia,Nickel,NiMatte,"58,000",2023
FajarBhaktiLintasNusantara,Nickel,NPI,"120,000",2015
AlchemistMetalIndustry,Nickel,NPI,"1,600,000",2022
AnekaTambang(NiterraHaltim),Nickel,NPI,"160,000",2023
TekaMiningResources,Nickel,NPI,"300,000",2023
