Perusahaan,Kapasitaspembangkit(MW),,,,
,Batu bara,PLN,Diesel,Gas,Hydro
HengjayaNickelIndustry,,,,,
IndonesiaRuipuNickelChromeAlloy,,,,,
OceanSkyMetalIndustry,,,,,
OracleNickelIndustry,,,,,
QMBNewEnergyMaterialsIndonesia,,,,,
RangerNickelIndustry,,,,,
TelukMetalIndustry,,,,,
ValeIndonesia(BahodopiNickelSmelting Indonesia),,,,500,
ZhaoHuiNickel,,,,,
KaruniaMitraAbadi,6,,,,
AnekaTambang(NiterraHaltim),24,,,,
FirstPacificMining,41,,,,
MegahSuryaPertiwi(1620),120,,,,
WanatiaraPersada,150,,,,
MegahSuryaPertiwi(1219),165,,,,
PerkasaMetalIndustry,206,,,,
HuakeNickelIndonesia,250,,,,
HuayueNickelCobalt,250,,,,
LibaiIndonesiaMetalCo,250,,,,
WedaBayNickel,250,,,,
YashiIndonesiaInvestment,250,,,,
YoushanNickelIndonesia,250,,,,
