Tahun,Provinsi,"Investasi APC,satu kalipasang","Operasional APC, tahunan",Beban ekonomi berkurang denganAPC,Beban ekonomi- APC,Beban ekonomi- BAU
2020,Sulawesi Tengah,"236,25","5,91","23,71","265,87","82,45"
2021,,"56,31","7,32","27,30","90,93","106,95"
2025,,"332,60","24,46","197,81","554,86","666,14"
2030,,"0,00","27,40","233,38","260,78","796,61"
2035,,"0,00","27,40","262,37","289,78","895,39"
2020,Nasional,"371,26","9,19","38,30","418,75","137,30"
2021,,"178,50","12,91","48,49","239,90","188,99"
2025,,"980,82","64,01","522,58","1567,41","2371,55"
2030,,"0,00","86,08","700,66","786,74","3119,41"
2035,,"0,00","86,08","787,89","873,97","3507,20"
2020,Maluku Utara,"58,34","1,88","5,79","66,02","24,17"
2021,,"70,74","3,34","9,35","83,43","42,63"
2025,,"368,40","20,84","98,51","487,75","550,04"
2030,,"0,00","34,63","135,79","170,42","706,26"
2035,,"0,00","34,63","152,80","187,42","794,58"
2020,Sulawesi Tenggara,"76,66","1,41","8,80","86,86","30,68"
2021,,"51,46","2,25","11,83","65,53","39,41"
2025,,"279,82","18,72","226,26","524,80","1155,37"
2030,,"0,00","24,05","331,49","355,54","1616,53"
2035,,"0,00","24,05","372,72","396,77","1817,23"
