,,,GHG Intensity,,,,2023,,,2028,
,,,,,,,(tonnes CO ) 2,,,(tonnes CO ) 2,
,Emissions at current rates,,,,,,,,,,
,Antam,,,69.9,,,"1,522,260",,,"2,829,726",
,MBMA,,,56.9,,,"3,816,802",,,"6,706,880",
,TBP,,,68.4,,,"7,981,627",,,"22,459,100",
,TBP - MHP,,,13.4,,,,,,,
,Vale,,,28.7,,,"2,032,313",,,"6,508,900",
,Total,,,,,,"15,353,002",,,"38,504,606",
,Emissions at Vale standard,,,,,,,,,,
,Antam,,,28.7,,,,,,"1,162,350",
,MBMA,,,28.7,,,,,,"4,228,800",
,TBP,,,28.7,,,,,,"10,356,700",
,TBP - MHP,,,13.4,,,,,,,
,Vale,,,28.7,,,,,,"6,508,900",
,Total,,,,,,,,,"22,256,750",
