Company,,,,2021,,,2022,,2023,
,,,,(US$ million),,,(US$ million),,(US$ million),
,Antam,,,130.5,,,242.9,,199.6,
,MBMA,,,0.2,,,37.8,,33.3,
,TBP (Harita),,,145.5,,,291.7,,458.5,
,Vale,,,165.8,,,200.4,,274.3,
,Total net profit for the 4 nickel companies,,,442.0,,,772.8,,965.8,
,Total net profit for the 7 coal companies,,,"3,837.6",,,"8,427.1",,"4,406.4",
,Nickel revenue as % of coal,,,11.5,,,9.2,,21.9,
,Nickel companies’ net margin (%),,,10.5,,,15.0,,14.3,
,Coal companies’ net margin (%),,,25.6,,,33.3,,22.7,
