Company,,,,New capacity,,Product,,,Process,,,Schedule,,
,,,,(tonnes),,,,,,,,,,
Antam,,,"13,500",,,Ferronickel,,,,Rotary Kiln-Electric,,Commissioned,,
,,,,,,,,,,Furnace (RKEF),,,,
,MBMA,,,"120,000",,,MHP,,,HPAL,,,"2025, 2027",
TBP (Harita),,,,"185,000",,,Ferronickel,,,RKEF,,,2025,
,,,,"65,000",,,MHP,,,HPAL,,,2025,
Vale,,,,"73,000",,,Ferronickel,,,RKEF,,,2025,
,,,,"180,000",,,MHP,,,HPAL,,,2026,
,Total Ferronickel,,,"271,500",,,Ferronickel,,,,,,,
,Total MHP,,,"365,000",,,MHP,,,,,,,
,Total,,,"529,500",,,,,,,,,,
