Companies,,Product,,,GHG Intensity,,,2023,,,GHG Intensity,,2028,
,,,,,(tonnes CO ) 2,,,(tonnes),,,(tonnes CO ) 2,,(tonnes),
,Antam,Ferronickel,,,69.9,,,"21,473",,,69.9,,"40,500",
MBMA,,Ferronickel,,,56.9,,,"65,117",,,56.9,,"88,000",
,,Matte,,,2.0,,,"30,333",,,2.0,,"50,000",
,,MHP,,,,,,,,,13.4,,"120,000",
,MBMA Total,,,,,,,"95,450",,,,,"258,000",
TBP (Harita),,Ferronickel,,,68.4,,,"101,538",,,68.4,,"305,000",
,,MHP,,,13.4,,,"63,655",,,13.4,,"120,000",
,TBP (Harita) Total,,,,,,,"165,193",,,,,"425,000",
Vale,,Matte,,,28.7,,,"70,728",,,28.7,,"70,000",
,,Ferronickel,,,,,,,,,28.7,,"73,000",
,,MHP,,,,,,,,,13.4,,"180,000",
,Vale Total,,,,,,,,,,,,"323,000",
