Company,Product,,,Process,,,2022 (tonnes),,,2023 (tonnes),,
Antam,,Limonite,,,Mining,,,"8,620,000",,,"13,450,000",
,,Ferronickel,,,RKEF,,,"24,334",,,"24,173",
Merdeka Battery Materials,,Saprolite,,,Mining,,,"100,000",,,"2,300,000",
,,Limonite,,,Mining,,,"900,000",,,"4,100,000",
,,Ferronickel,,,RKEF,,,"26,283",,,"65,117",
,,Matte,,,Conversion,,,0,,,"28,129",
TBP (Harita),,Saprolite,,,Mining,,,"4,430,000",,,"6,090,000",
,,Limonite,,,Mining,,,"6,290,000",,,"14,660,000",
,,MHP,,,HPAL,,,"42,310",,,"63,655",
,,Ferronickel,,,RKEF,,,"25,372",,,"101,538",
Vale,,Saprolite,,,Mining,,,"11,552,911",,,"13,452,663",
,,Ni in matte,,,"RKEF, Conversion",,,"60,090",,,"70,728",
